Código Cliente;Nível de risco;Possui servidor CFTV;Pessoa Física, Jurídica, ou Órgão Público;Estado;Cidade;Bairro;Data/hora;Código do evento;Confirmado
11776;4;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 17:43:16.213;E130;0
11776;4;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 17:44:56.703;E130;0
11776;4;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 17:46:37.220;E130;0
11776;4;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 17:47:19.843;E130;0
11776;4;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 17:47:27.950;E130;0
11776;4;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 17:47:36.077;E130;0
11776;4;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 17:48:02.473;E130;0
11633;4;0;0;SP;IBATE;ZONA RURAL;2019-01-01 17:53:16.553;E134;0
11690;3;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 18:02:58.030;E131;0
11690;3;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 18:03:01.067;E131;0
11690;3;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 18:03:05.127;E131;0
11690;3;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 18:03:09.183;E131;0
11690;3;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 18:03:21.353;E131;0
11876;4;0;1;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 18:03:39.617;E810;0
11690;3;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 18:14:30.143;E131;0
11690;3;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 18:14:38.257;E131;0
11690;3;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 18:14:42.310;E131;0
11690;3;0;0;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 18:14:45.393;E131;0
11776;4;0;1;SP;SAO CARLOS;JARDIM PAULISTA;2019-01-01 18:16:47.210;E130;0
11385;4;0;1;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 18:17:47.097;E130;0
10146;5;0;0;SP;SAO CARLOS;JARDIM CRUZEIRO DO SUL;2019-01-01 18:29:05.377;E134;1
7132;4;0;1;SP;SAO CARLOS;PLANALTO PARAÍSO;2019-01-01 18:32:25.230;E130;1
11182;2;0;0;SP;SAO CARLOS;JARDIM SANTA MARIA II;2019-01-01 18:48:00.623;E131;0
11797;3;0;0;SP;SAO CARLOS;CENTRO;2019-01-01 18:50:26.783;E131;0
11385;4;0;1;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 19:00:16.667;E130;0
11838;4;0;0;SP;SAO CARLOS;VILA ALPES;2019-01-01 19:02:00.153;E123;0
6317;5;0;0;SP;SAO CARLOS;JARDIM SÃO JOÃO BATISTA;2019-01-01 19:02:20.440;E131;1
6317;5;0;0;SP;SAO CARLOS;JARDIM SÃO JOÃO BATISTA;2019-01-01 19:03:46.670;E131;1
6317;5;0;0;SP;SAO CARLOS;JARDIM SÃO JOÃO BATISTA;2019-01-01 19:04:12.060;E131;1
11632;5;0;0;SP;SAO CARLOS;JARDIM LUTFALLA;2019-01-01 19:05:44.420;E131;0
6317;5;0;0;SP;SAO CARLOS;JARDIM SÃO JOÃO BATISTA;2019-01-01 19:07:06.723;E131;1
11317;4;0;1;SP;SAO CARLOS;JARDIM ACAPULCO;2019-01-01 19:08:00.500;E131;0
11385;4;0;1;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 19:10:17.480;E130;0
11385;4;0;1;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 19:10:29.650;E130;0
11385;4;0;1;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 19:10:49.943;E130;0
11385;4;0;1;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 19:10:57.060;E130;0
11385;4;0;1;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 19:11:05.177;E130;0
11385;4;0;1;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 19:11:25.467;E130;0
11385;4;0;1;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 19:11:41.690;E130;0
11385;4;0;1;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 19:11:53.853;E130;0
11385;4;0;1;SP;SAO CARLOS;PARQUE SANTA MONICA;2019-01-01 19:12:00.960;E130;0
6317;5;0;0;SP;SAO CARLOS;JARDIM SÃO JOÃO BATISTA;2019-01-01 19:18:19.550;E131;1
6317;5;0;0;SP;SAO CARLOS;JARDIM SÃO JOÃO BATISTA;2019-01-01 19:18:37.807;E131;1
6317;5;0;0;SP;SAO CARLOS;JARDIM SÃO JOÃO BATISTA;2019-01-01 19:19:23.530;E131;1
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:24:33.850;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:24:40.910;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:24:47.853;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:24:58.743;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:25:06.180;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:25:14.150;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:25:20.583;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:25:27.947;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:25:35.383;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:26:05.963;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:26:35.907;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:27:30.647;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:27:51.477;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:28:23.513;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:28:34.883;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:28:41.550;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:28:49.067;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:28:57.927;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:29:05.320;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:29:12.177;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:29:24.510;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:29:31.210;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:29:39.290;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:29:46.723;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:29:54.203;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:30:00.963;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:30:08.537;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:30:16.027;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:30:22.697;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:30:30.240;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:30:37.663;E130;0
11687;4;0;0;SP;SAO CARLOS;JARDIM MACARENGO;2019-01-01 19:30:45.117;E130;0
